gene,H10,H1,H2,H3,H4,H5,H6,H7,H8,H9
RPS12P24,3.5362783,2.71664881,3.373218785,4.821218974,4.774955047,2.116193555,3.307270223,2.894361249,3.380562049,2.188802544
AC005070.2,3.509076159,0.808725453,5.020906422,2.392066337,3.94852052,6.299745429,0.820457421,1.723258159,3.354557726,2.443461302
RNA5SP449,59.65429471,46.9060763,40.16725137,25.51537426,45.80283803,37.79847257,55.7911046,70.65358453,53.67292361,47.24025183
AC020612.1,0.843216083,2.331999459,2.010837446,1.916011237,0.759050155,1.513802044,1.577219441,2.070458047,0.80608596,1.5657423
AC006238.2,19.93018984,13.2693788,12.04042608,19.32232226,15.34939433,10.13769713,16.56846053,17.18238961,17.57071741,13.77511193
RN7SKP1,8.172604085,4.794398453,4.960939027,13.50569484,12.70729079,2.667644644,4.863949529,1.459436878,4.971738649,6.208142721
AC025278.1,3.100251753,1.224865735,0.422471091,4.830580564,3.986855671,1.192670251,2.48526908,2.174986026,6.774252495,0.822394742
AC008074.1,20.73545003,3.921093107,6.085947178,1.449737174,16.75129918,0.954506883,7.955950745,0.0,3.049597933,5.429914004
MIR5690,40.61875828,34.56470431,11.92178694,28.39896108,39.37702656,11.21872474,20.4552398,3.0688159,29.86934961,26.10821665
AL138831.3,1.407962657,1.44217159,1.193814055,1.706275028,1.549076637,2.387249211,1.755711353,1.690164038,1.34596452,1.742935359
AP003498.2,2.788872756,1.469125714,1.900197481,5.250707476,10.04200153,2.145764819,2.980875869,1.173922589,0.761733632,0.369898072
AC064847.1,0.901541306,2.908854397,0.0,1.229124995,0.811553625,0.809255836,0.843157824,1.328202929,0.430921447,2.092555792
AC005486.1,2.111943985,0.973465823,2.014561219,1.919559406,2.851709264,3.791513453,0.987587636,4.148584458,2.018946779,0.98040114
AC079781.3,0.640702108,1.771926555,6.722749235,1.164676494,0.0,4.600937673,1.198420951,1.25855933,1.224978945,1.784550389
AC130456.3,8.647960203,12.95493854,1.374866424,8.515201916,20.43499719,9.056506067,12.13188224,16.63366091,8.956086187,13.04723412
RAB5CP1,0.78651707,0.7250642,1.875625962,1.429740799,1.77002644,1.412011907,0.735582515,1.931237592,1.879709071,1.460459629
ARL4AP4,2.201640448,1.217771918,5.040292161,2.801519133,1.981882886,4.743051578,2.47087563,2.594867499,1.683754843,3.270527353
AC099811.6,1.949486755,1.797167674,2.258079608,1.139079208,1.12814872,2.124914133,2.474395395,2.46179737,1.597408441,2.197822335
RNA5SP39,60.82398676,64.83282384,39.88831213,41.46248317,70.1520479,68.24724215,49.77441685,134.4141364,90.85260507,79.4124923
PCP4L1,2.271165935,1.345958436,0.77372906,2.801519133,3.066702993,2.184300069,2.124086068,1.752673661,1.705909512,2.560478652
AC008781.1,0.734589212,0.338596808,1.051075418,0.667672837,0.991898875,0.989090466,1.717543715,2.164478847,1.053363537,2.728072736
RAB11FIP1P1,13.85109233,11.45617895,13.95329462,10.47151249,8.156989042,10.57406192,10.77490619,13.60415494,10.76618839,12.49927991
AC013437.2,2.69530222,4.348243206,1.285510261,1.83733308,2.729553328,0.302425002,1.260377721,0.330906294,1.61038591,2.815213907
MIR1284,1.900749586,7.008953929,0.0,1.727603466,3.422051117,3.412362107,5.332973234,7.467452024,5.451156304,5.294166153
ALOX15,12.4631994,22.05226104,18.66369054,28.98963277,56.33717527,11.96933125,21.30682608,7.502551681,13.45173706,5.972267341
RF00012,0.0,3.893863294,2.014561219,2.879339109,3.802279019,0.947878363,7.900701087,0.0,1.00947339,2.941203419
AC011462.5,2.539977176,4.214738443,1.453714554,1.385160908,1.371869045,4.103954428,2.3754891909999998,2.993633328,1.942505587,0.943281275
SIGLEC8,2.589479096,3.381803693,4.459861165,7.12615999,7.122528343,2.840944801,5.381745301,2.684609053,2.956792445,1.736339577
HBA2,42140.9284,36879.13239,20244.51326,62441.14599,99664.36294,48104.40285,49543.90171,22200.81613,15332.84371,69224.64734
LINC01629,3.140653361,5.066713684,3.744795381,4.281839915,3.533959846,1.409581593,4.038740487,3.084661765,1.501179017,7.289729643
AC008533.1,50.96982131,19.5780836,16.206526,24.70762498,73.02924731,41.5583765,56.80559944,57.57030052,33.70174847,62.70185612
RN7SKP296,129.0948986,64.12884533,33.81627101,40.73293801,86.10322166,34.22369034,55.67561499,55.18468944,37.72647765,49.06030805
AC138819.1,2.646055109,4.390760002,2.524044218,0.96200657,1.42916288,1.425116425,1.484818534,2.079104972,1.011815555,0.491337926
TSEN15P2,3.822736598,4.111397556,0.607744725,1.158169921,4.014696842,0.0,0.595862931,1.877292408,0.609067744,4.140688612
AP000346.3,1.086142621,2.002558265,3.108180166,0.98720198,1.955457781,0.974960602,4.063217702,2.133557721,0.0,4.033650403
AC134407.3,2.985749701,3.342278171,3.458377183,2.713767015,2.495745555,3.254426694,2.592936963,5.550840915,1.631014509,4.059108224
SEMG1,3.796811751,3.759426583,2.280354129,2.428443836,4.810281472,2.272103006,3.419415637,1.243040719,3.629623187,3.916769041
AP002336.1,7.026467665,6.975736138,4.640174181,6.386401437,8.271308388,8.733059422,7.076931306,5.308615183,5.683670081,15.55631761
PHBP19,0.605013131,0.278870846,0.865673521,1.099800615,1.63387056,0.814622254,0.565832704,2.07979433,0.578372022,1.123430483
MTND3P9,2.636878039,1.215425537,2.515290308,3.595012992,1.186838538,2.366956375,3.699172185,1.294933877,1.260382961,1.22408466
AC092490.1,76.06334457,38.47389805,16.42057446,61.03845153,149.2849153,67.82799626,31.91827771,46.29885787,19.99634344,15.61070494
AKT3-IT1,1.323539364,2.846963878,2.525020638,2.806937932,1.191429789,1.18805644,1.237827443,1.299943292,2.108764528,0.409606666
ATP5MC2P3,16.10046708,24.73748446,25.08484228,32.1943987,17.39207156,21.67853574,23.59056395,24.77437024,23.08725023,39.86195692
AL032821.1,93.04185583,42.34325007,48.68233995,61.01621878,126.1623665,41.9350524,91.4223983,82.1291195,107.7095945,70.71037754
HMGN1P15,2.319558817,0.712774976,2.21260283,1.405507904,2.08803119,1.388079501,0.723115015,0.0,2.217419514,2.871412151
AC107909.2,5.089228101,4.265083527,3.089266291,2.523071998,3.748291285,2.907083337,5.192347165,4.544088452,3.09599141,3.865922546
